,loanSequenceNumber,monthlyReportingPeriod,currentActualUPB,currentLoanDelinquencyStatus,loanAge,remainingMonthToLegalMaturity,repurchaseFlag,modificationFlag,zeroBalanceCode,zeroBalanceEffectiveDate,currentInterestRate,currentDeferredUPB,dueDateOfLastPaidInstallment,miRecoveries,netSalesProceeds,nonMiRecoveries,expenses,legalCosts,maintenanceAndPreservationCosts,taxesAndInsurance,miscellaneousExpenses,actualLossCalculation,modificationCost,stepModificationFlag,deferredPaymentModification,estimatedLoandToValue,yr,qr,defaulted,creditScore,firstPaymentDate,firstTimeHomeBuyerFlag,maturityDate,metropolitanDivisionOrMSA,mortgageInsurancePercentage,numberOfUnits,occupancyStatus,originalCombinedLoanToValue,originalDebtToIncomeRatio,originalUPB,originalLoanToValue,originalInterestRate,channel,prepaymentPenaltyMortgageFlag,productType,propertyState,propertyType,postalCode,loanSequenceNumber,loanPurpose,originalLoanTerm,numberOfBorrowers,sellerName,servicerName,superConformingFlag,preHarpLoanSequenceNumber,yr,qr
0,F108Q3000001,200810,245000.0,0,0,360,NotA,NotA,0,NotA,5.875,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,776,200811,N,203810,16974.0,0,1,P,87.0,27,245000,77,5.875,R,N,FRM,IL,SF,60100,F108Q3000001,N,360,2,Other sellers,Other servicers,NotA,NotA,2008,3
1,F108Q3000001,200811,245000.0,0,1,359,NotA,NotA,0,NotA,5.875,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,776,200811,N,203810,16974.0,0,1,P,87.0,27,245000,77,5.875,R,N,FRM,IL,SF,60100,F108Q3000001,N,360,2,Other sellers,Other servicers,NotA,NotA,2008,3
2,F108Q3000001,200812,244000.0,0,2,358,NotA,NotA,0,NotA,5.875,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,776,200811,N,203810,16974.0,0,1,P,87.0,27,245000,77,5.875,R,N,FRM,IL,SF,60100,F108Q3000001,N,360,2,Other sellers,Other servicers,NotA,NotA,2008,3
3,F108Q3000001,200901,244000.0,0,3,357,NotA,NotA,0,NotA,5.875,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,776,200811,N,203810,16974.0,0,1,P,87.0,27,245000,77,5.875,R,N,FRM,IL,SF,60100,F108Q3000001,N,360,2,Other sellers,Other servicers,NotA,NotA,2008,3
4,F108Q3000001,200902,0.0,0,4,356,N,NotA,1,200902.0,5.875,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,776,200811,N,203810,16974.0,0,1,P,87.0,27,245000,77,5.875,R,N,FRM,IL,SF,60100,F108Q3000001,N,360,2,Other sellers,Other servicers,NotA,NotA,2008,3
5,F108Q3000002,200808,285000.0,0,0,360,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
6,F108Q3000002,200809,285000.0,0,1,359,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
7,F108Q3000002,200810,284000.0,0,2,358,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
8,F108Q3000002,200811,284000.0,0,3,357,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
9,F108Q3000002,200812,284000.0,0,4,356,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
