,currentActualUPB,currentLoanDelinquencyStatus,modificationFlag,currentInterestRate,currentDeferredUPB,netSalesProceeds,nonMiRecoveries,expenses,legalCosts,actualLossCalculation,stepModificationFlag,deferredPaymentModification,creditScore,firstTimeHomeBuyerFlag,metropolitanDivisionOrMSA,mortgageInsurancePercentage,numberOfUnits,occupancyStatus,originalCombinedLoanToValue,originalDebtToIncomeRatio,originalUPB,originalLoanToValue,originalInterestRate,channel,prepaymentPenaltyMortgageFlag,productType,propertyState,propertyType,postalCode,loanPurpose,defaulted
0,200000.0,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
1,200000.0,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
2,200000.0,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
3,199000.0,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
4,199000.0,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
5,199000.0,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
6,199000.0,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
7,198375.15,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
8,198137.69,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
9,197933.81,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
10,197728.88,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
11,197522.9,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
12,197315.87,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
13,197107.78,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
14,196898.63,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
15,196688.41,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
16,0.0,0,0,6.125,0.0,117,0.0,0.0,0.0,0.0,1,0,767,1,119,0,1,1,76.0,31,200000,76,6.125,2,0,0,23,4,331,1,0
17,70000.0,0,0,6.0,0.0,117,0.0,0.0,0.0,0.0,1,0,802,2,66,0,1,1,59.0,21,70000,59,6.0,2,0,0,36,4,289,2,0
